#	score	# matches	# mismatches	# indels
>q0	19787	9966	15	65
#	score	# matches	# mismatches	# indels
>q1	18458	9689	165	384
#	score	# matches	# mismatches	# indels
>q2	19420	9887	50	152
#	score	# matches	# mismatches	# indels
>q3	15622	8995	682	931
#	score	# matches	# mismatches	# indels
>q4	17387	9446	326	616
#	score	# matches	# mismatches	# indels
>q5	19495	9905	46	136
#	score	# matches	# mismatches	# indels
>q6	19730	9950	20	75
#	score	# matches	# mismatches	# indels
>q7	18626	9723	140	347
#	score	# matches	# mismatches	# indels
>q8	19747	9955	18	73
#	score	# matches	# mismatches	# indels
>q9	19750	9956	18	72
#	score	# matches	# mismatches	# indels
>q10	19226	9851	79	200
#	score	# matches	# mismatches	# indels
>q11	19124	9820	89	215
#	score	# matches	# mismatches	# indels
>q12	19102	9817	84	227
#	score	# matches	# mismatches	# indels
>q13	19698	9938	31	74
#	score	# matches	# mismatches	# indels
>q14	19706	9944	22	80
#	score	# matches	# mismatches	# indels
>q15	19694	9937	36	72
#	score	# matches	# mismatches	# indels
>q16	19741	9952	23	70
#	score	# matches	# mismatches	# indels
>q17	19181	9844	73	218
#	score	# matches	# mismatches	# indels
>q18	18194	9618	233	422
#	score	# matches	# mismatches	# indels
>q19	19197	9843	74	210
#	score	# matches	# mismatches	# indels
>q20	19149	9825	94	205
#	score	# matches	# mismatches	# indels
>q21	17197	9401	362	649
#	score	# matches	# mismatches	# indels
>q22	17785	9533	265	533
#	score	# matches	# mismatches	# indels
>q23	18183	9604	249	404
#	score	# matches	# mismatches	# indels
>q24	18624	9725	135	351
#	score	# matches	# mismatches	# indels
>q25	17090	9390	351	700
#	score	# matches	# mismatches	# indels
>q26	18933	9782	126	256
#	score	# matches	# mismatches	# indels
>q27	19425	9885	56	146
#	score	# matches	# mismatches	# indels
>q28	17555	9509	292	614
#	score	# matches	# mismatches	# indels
>q29	16238	9164	565	833
#	score	# matches	# mismatches	# indels
>q30	16805	9304	443	715
#	score	# matches	# mismatches	# indels
>q31	16172	9163	489	891
#	score	# matches	# mismatches	# indels
>q32	18639	9720	142	337
#	score	# matches	# mismatches	# indels
>q33	19213	9843	93	192
#	score	# matches	# mismatches	# indels
>q34	18481	9701	158	386
#	score	# matches	# mismatches	# indels
>q35	18416	9673	187	391
#	score	# matches	# mismatches	# indels
>q36	17945	9558	264	484
#	score	# matches	# mismatches	# indels
>q37	16689	9283	443	762
#	score	# matches	# mismatches	# indels
>q38	19180	9836	90	204
#	score	# matches	# mismatches	# indels
>q39	19429	9890	46	153
#	score	# matches	# mismatches	# indels
>q40	19439	9892	53	146
#	score	# matches	# mismatches	# indels
>q41	17424	9452	343	597
#	score	# matches	# mismatches	# indels
>q42	17509	9484	286	615
#	score	# matches	# mismatches	# indels
>q43	19505	9909	41	137
#	score	# matches	# mismatches	# indels
>q44	18936	9788	113	269
#	score	# matches	# mismatches	# indels
>q45	19725	9948	23	74
#	score	# matches	# mismatches	# indels
>q46	18910	9784	100	283
#	score	# matches	# mismatches	# indels
>q47	19457	9894	55	139
#	score	# matches	# mismatches	# indels
>q48	18358	9640	215	372
#	score	# matches	# mismatches	# indels
>q49	19723	9948	23	75
#	score	# matches	# mismatches	# indels
>q50	19742	9953	20	72
#	score	# matches	# mismatches	# indels
>q51	19734	9950	24	71
#	score	# matches	# mismatches	# indels
>q52	18713	9750	125	336
#	score	# matches	# mismatches	# indels
>q53	18267	9630	207	401
#	score	# matches	# mismatches	# indels
>q54	18852	9766	122	284
#	score	# matches	# mismatches	# indels
>q55	19162	9833	77	216
#	score	# matches	# mismatches	# indels
>q56	18885	9775	112	283
#	score	# matches	# mismatches	# indels
>q57	18561	9702	149	356
#	score	# matches	# mismatches	# indels
>q58	19705	9944	17	83
#	score	# matches	# mismatches	# indels
>q59	19701	9941	29	76
#	score	# matches	# mismatches	# indels
>q60	18633	9714	162	321
#	score	# matches	# mismatches	# indels
>q61	19428	9887	51	148
#	score	# matches	# mismatches	# indels
>q62	18718	9739	137	320
#	score	# matches	# mismatches	# indels
>q63	18969	9795	127	251
#   score	# matches	# mismatches	# indels
>q64	17716	9545	256	585
#	score	# matches	# mismatches	# indels
>q65	19474	9904	38	149
#	score	# matches	# mismatches	# indels
>q66	18135	9604	230	443
#	score	# matches	# mismatches	# indels
>q67	19447	9896	39  154
#	score	# matches	# mismatches	# indels
>q68	19709	9945	21	80
#	score	# matches	# mismatches	# indels
>q69	19726	9950	17	79
#	score	# matches	# mismatches	# indels
>q70	17772	9519	308	512
#	score	# matches	# mismatches	# indels
>q71	19701	9942	25	79
#	score	# matches	# mismatches	# indels
>q72	18926	9796	90	290
#	score	# matches	# mismatches	# indels
>q73	19743	9953	20	72
#	score	# matches	# mismatches	# indels
>q74	18693	9741	137	332
#	score	# matches	# mismatches	# indels
>q75	15776	9078	584	966
#	score	# matches	# mismatches	# indels
>q76	19242	9862	56	216
#	score	# matches	# mismatches	# indels
>q77	18935	9797	90	288
#	score	# matches	# mismatches	# indels
>q78	18937	9795	102	276
#	score	# matches	# mismatches	# indels
>q79	16324	9200	497	850
#	score	# matches	# mismatches	# indels
>q80	19149	9833	75	223
#	score	# matches	# mismatches	# indels
>q81	18341	9659	171	414
#	score	# matches	# mismatches	# indels
>q82	19442	9890	55	142
#	score	# matches	# mismatches	# indels
>q83	18923	9792	94	288
#	score	# matches	# mismatches	# indels
>q84	18427	9678	169	386
#	score	# matches	# mismatches	# indels
>q85	19436	9888	55	144
#	score	# matches	# mismatches	# indels
>q86	17843	9542	292	494
#	score	# matches	# mismatches	# indels
>q87	18418	9666	186	390
#	score	# matches	# mismatches	# indels
>q88	19649	9927	30	88
#	score	# matches	# mismatches	# indels
>q89	19753	9955	21	68
#	score	# matches	# mismatches	# indels
>q90	17423	9468	308	633
#	score	# matches	# mismatches	# indels
>q91	18630	9717	148	333
#	score	# matches	# mismatches	# indels
>q92	19743	9953	23	70
#	score	# matches	# mismatches	# indels
>q93	19776	9963	14	68
#	score	# matches	# mismatches	# indels
>q94	19450	9893	50	144
#	score	# matches	# mismatches	# indels
>q95	18392	9667	197	379
#	score	# matches	# mismatches	# indels
>q96	19717	9945	26	74
#	score	# matches	# mismatches	# indels
>q97	19730	9946	30	66
#	score	# matches	# mismatches	# indels
>q98	19726	9948	24	73
#	score	# matches	# mismatches	# indels
>q99	18310	9657	177	423
#	score	# matches	# mismatches	# indels
>q100	18873	9770	122	277
#	score	# matches	# mismatches	# indels
>q101	18948	9792	109	269
#	score	# matches	# mismatches	# indels
>q102	19245	9858	61	206
#	score	# matches	# mismatches	# indels
>q103	16570	9264	448	809
#	score	# matches	# mismatches	# indels
>q104	18991	9805	111	256
#	score	# matches	# mismatches	# indels
>q105	19156	9830	87	211
#	score	# matches	# mismatches	# indels
>q106	18639	9726	140	342
#	score	# matches	# mismatches	# indels
>q107	18831	9762	110	297
#	score	# matches	# mismatches	# indels
>q108	17617	9499	289	572
#	score	# matches	# mismatches	# indels
>q109	18343	9638	227	369
#	score	# matches	# mismatches	# indels
>q110	19232	9854	72	205
#	score	# matches	# mismatches	# indels
>q111	17487	9475	303	613
#	score	# matches	# mismatches	# indels
>q112	19724	9949	16	79
#	score	# matches	# mismatches	# indels
>q113	19038	9820	83	264
#	score	# matches	# mismatches	# indels
>q114	18357	9663	165	411
#	score	# matches	# mismatches	# indels
>q115	18178	9624	216	453
#	score	# matches	# mismatches	# indels
>q116	18783	9761	129	312
#	score	# matches	# mismatches	# indels
>q117	19161	9835	78	218
#	score	# matches	# mismatches	# indels
>q118	19199	9843	80	206
#	score	# matches	# mismatches	# indels
>q119	17452	9477	308	629
#	score	# matches	# mismatches	# indels
>q120	18152	9611	221	446
#	score	# matches	# mismatches	# indels
>q121	19439	9891	56	144
#	score	# matches	# mismatches	# indels
>q122	18529	9693	152	361
#	score	# matches	# mismatches	# indels
>q123	19711	9943	29	73
#	score	# matches	# mismatches	# indels
>q124	18637	9726	149	336
#	score	# matches	# mismatches	# indels
>q125	19113	9821	90	221
#	score	# matches	# mismatches	# indels
>q126	18842	9772	98	307
#	score	# matches	# mismatches	# indels
>q127	19130	9829	75	230
#	score	# matches	# mismatches	# indels
>q128	18745	9759	121	330
#	score	# matches	# mismatches	# indels
>q129	19675	9935	27	84
#	score	# matches	# mismatches	# indels
>q130	19119	9824	74	229
#	score	# matches	# mismatches	# indels
>q131	19707	9943	25	78
#	score	# matches	# mismatches	# indels
>q132	19721	9946	24	74
#	score	# matches	# mismatches	# indels
>q133	18961	9805	79	290
#	score	# matches	# mismatches	# indels
>q134	19182	9845	68	222
#	score	# matches	# mismatches	# indels
>q135	18425	9681	172	389
#	score	# matches	# mismatches	# indels
>q136	19140	9825	84	216
#	score	# matches	# mismatches	# indels
>q137	19759	9959	15	72
#	score	# matches	# mismatches	# indels
>q138	18362	9657	188	403
#	score	# matches	# mismatches	# indels
>q139	19099	9814	98	217
#	score	# matches	# mismatches	# indels
>q140	18935	9794	97	280
#	score	# matches	# mismatches	# indels
>q141	19421	9886	48	153
#	score	# matches	# mismatches	# indels
>q142	18102	9592	238	443
#	score	# matches	# mismatches	# indels
>q143	18923	9784	107	274
#	score	# matches	# mismatches	# indels
>q144	18597	9714	142	354
#	score	# matches	# mismatches	# indels
>q145	19723	9946	31	69
#	score	# matches	# mismatches	# indels
>q146	17413	9452	329	609
#	score	# matches	# mismatches	# indels
>q147	19452	9894	48	145
#	score	# matches	# mismatches	# indels
>q148	17639	9481	285	538
#	score	# matches	# mismatches	# indels
>q149	18890	9776	116	275
#	score	# matches	# mismatches	# indels
>q150	19467	9899	49	142
#	score	# matches	# mismatches	# indels
>q151	19719	9946	24	75
#	score	# matches	# mismatches	# indels
>q152	19149	9831	81	216
#	score	# matches	# mismatches	# indels
>q153	17268	9418	360	641
#	score	# matches	# mismatches	# indels
>q154	18296	9655	208	418
#	score	# matches	# mismatches	# indels
>q155	19708	9941	30	72
#	score	# matches	# mismatches	# indels
>q156	19713	9944	27	74
#	score	# matches	# mismatches	# indels
>q157	19444	9894	49	148
#	score	# matches	# mismatches	# indels
>q158	18598	9710	148	343
#	score	# matches	# mismatches	# indels
>q159	19415	9887	46	157
#	score	# matches	# mismatches	# indels
>q160	19350	9865	59	162
#	score	# matches	# mismatches	# indels
>q161	19234	9856	67	208
#	score	# matches	# mismatches	# indels
>q162	19485	9905	46	140
#	score	# matches	# mismatches	# indels
>q163	19432	9891	45	153
#	score	# matches	# mismatches	# indels
>q164	19280	9868	69	194
#	score	# matches	# mismatches	# indels
>q165	19711	9945	23	78
#	score	# matches	# mismatches	# indels
>q166	17767	9550	261	559
#	score	# matches	# mismatches	# indels
>q167	17139	9393	343	690
#	score	# matches	# mismatches	# indels
>q168	18285	9634	190	406
#	score	# matches	# mismatches	# indels
>q169	19736	9951	19	75
#	score	# matches	# mismatches	# indels
>q170	18592	9709	146	347
#	score	# matches	# mismatches	# indels
>q171	19774	9963	14	69
#	score	# matches	# mismatches	# indels
>q172	18211	9625	210	444
#	score	# matches	# mismatches	# indels
>q173	18282	9644	196	412
#	score	# matches	# mismatches	# indels
>q174	19738	9952	22	72
#	score	# matches	# mismatches	# indels
>q175	19707	9945	19	82
#	score	# matches	# mismatches	# indels
>q176	16877	9332	427	722
#	score	# matches	# mismatches	# indels
>q177	19743	9953	21	71
#	score	# matches	# mismatches	# indels
>q178	18551	9717	149	375
#	score	# matches	# mismatches	# indels
>q179	19483	9902	52	135
#	score	# matches	# mismatches	# indels
>q180	19708	9943	28	75
#	score	# matches	# mismatches	# indels
>q181	19248	9854	81	195
#	score	# matches	# mismatches	# indels
>q182	19203	9840	83	201
#	score	# matches	# mismatches	# indels
>q183	19747	9954	23	69
#	score	# matches	# mismatches	# indels
>q184	18941	9792	109	270
#	score	# matches	# mismatches	# indels
>q185	19716	9944	29	72
#	score	# matches	# mismatches	# indels
>q186	19172	9839	69	219
#	score	# matches	# mismatches	# indels
>q187	17576	9489	285	584
#	score	# matches	# mismatches	# indels
>q188	19435	9889	57	144
